> 01 CSN
 121.39094  25.01825
 121.40292  25.02341
 121.40787  25.02981
 121.41263  25.03516
 121.41911  25.04674
 121.42578  25.05815
 121.43112  25.06870
 121.43303  25.07267
 121.43704  25.08253
 121.44391  25.09688
 121.45078  25.11140
 121.45346  25.11606
 121.45555  25.11848
> 01 CSN
 121.49258  25.16798
 121.50562  25.18354
 121.52003  25.19004
 121.54167  25.19978
 121.56089  25.20735
 121.57650  25.21165
 121.58846  25.21685
> 01 CSN
 121.62605  25.24061
 121.61815  25.23620
 121.60820  25.23027
 121.60012  25.22525
 121.59308  25.22007
 121.58846  25.21685
> 01 CSN
 121.49046  25.16443
 121.48436  25.15925
 121.47711  25.15252
 121.47235  25.14942
 121.46319  25.13542
 121.45746  25.12384
 121.45498  25.11814
> 02 SCO
 121.43770  25.07373
 121.43551  25.07118
 121.43301  25.06664
 121.42957  25.06068
 121.42738  25.05585
 121.42582  25.05245
 121.42269  25.04791
 121.41800  25.04024
 121.41550  25.03598
 121.41082  25.02747
 121.40524  25.01829
 121.40485  25.01725
> 02 SCO
 121.44680  25.10306
 121.44646  25.09560
 121.44489  25.08992
 121.44364  25.08509
 121.44145  25.08140
 121.43864  25.07686
 121.43770  25.07373
> 03 NKN
 121.26019  25.11901
 121.26212  25.11428
 121.26557  25.10698
 121.26842  25.10072
 121.27050  25.09536
 121.27180  25.09209
 121.27395  25.08917
 121.27610  25.08520
 121.27856  25.07984
 121.28017  25.07678
 121.28178  25.07310
 121.28271  25.07038
 121.28348  25.06809
 121.28655  25.06141
 121.29093  25.05188
 121.29324  25.04652
 121.29500  25.04325
 121.29715  25.03887
 121.29975  25.03490
 121.30489  25.02593
 121.30911  25.01785
 121.31424  25.01083
 121.31669  25.00631
 121.31999  25.00067
 121.32029  25.00011
> 04 SLP
 121.19440  24.96404
 121.18962  24.96321
 121.18515  24.96260
 121.18030  24.96218
 121.17644  24.96157
 121.17424  24.96149
 121.17159  24.96081
 121.16946  24.96122
 121.16651  24.96094
 121.16355  24.96039
 121.15468  24.95902
 121.14893  24.95710
 121.14242  24.95294
 121.14045  24.95117
 121.13871  24.94845
 121.13660  24.94572
 121.13478  24.94354
 121.13365  24.94129
 121.13153  24.93911
 121.12919  24.93713
 121.12624  24.93502
> 05 HKO
 121.24565  24.91399
 121.23867  24.91337
 121.23504  24.91269
 121.23337  24.91276
 121.23064  24.91228
 121.22488  24.91159
 121.22019  24.91104
 121.21716  24.91009
 121.21488  24.91015
 121.20973  24.90967
 121.20367  24.90933
 121.19874  24.90905
 121.19488  24.90857
 121.19018  24.90850
 121.18442  24.90883
 121.17988  24.90896
 121.17048  24.90861
 121.16351  24.90812
 121.15699  24.90709
