  120.2000   22.9000  -0.101E-05
  120.2500   22.7500   0.142E-06
  120.2500   22.8500  -0.487E-06
  120.2500   22.9000  -0.517E-06
  120.2500   22.8000  -0.215E-06
  120.3000   22.6000   0.253E-06
  120.3000   22.6500   0.663E-07
  120.3000   22.7000  -0.164E-06
  120.3000   22.7500  -0.333E-06
  120.3000   22.8000  -0.711E-06
  120.3000   22.8500  -0.643E-06
  120.3000   22.9000  -0.405E-06
  120.3500   22.7000  -0.181E-06
  120.3500   22.9000  -0.754E-06
  120.3500   22.5500   0.178E-06
  120.3500   22.8500  -0.883E-06
  120.3500   22.6500   0.286E-06
  120.3500   22.8000  -0.942E-06
  120.3500   22.7500  -0.627E-06
  120.3500   22.6000   0.254E-06
  120.4000   22.8500  -0.876E-06
  120.4000   22.6500   0.344E-06
  120.4000   22.9000  -0.729E-06
  120.4000   22.8000  -0.727E-06
  120.4000   22.7000   0.118E-06
  120.4000   22.7500  -0.373E-06
  120.4000   22.6000   0.144E-06
  120.4000   22.5000   0.254E-06
  120.4000   22.5500   0.617E-07
  120.4500   22.7000   0.143E-07
  120.4500   22.6000  -0.964E-07
  120.4500   22.9000  -0.827E-06
  120.4500   22.6500   0.902E-07
  120.4500   22.8500  -0.745E-06
  120.4500   22.5500  -0.105E-06
  120.4500   22.5000  -0.365E-07
  120.4500   22.8000  -0.419E-06
  120.4500   22.7500  -0.190E-06
  120.5000   22.8000  -0.191E-06
  120.5000   22.7000  -0.164E-06
  120.5000   22.7500  -0.127E-06
  120.5000   22.4500  -0.258E-06
  120.5000   22.8500  -0.423E-06
  120.5000   22.5000  -0.313E-06
  120.5000   22.6500  -0.186E-06
  120.5000   22.5500  -0.321E-06
  120.5000   22.6000  -0.301E-06
  120.5500   22.9000  -0.472E-06
  120.5500   22.6000  -0.305E-06
  120.5500   22.6500  -0.261E-06
  120.5500   22.8500  -0.382E-06
  120.5500   22.8000  -0.160E-06
  120.5500   22.7500  -0.622E-07
  120.5500   22.4500  -0.227E-06
  120.5500   22.5500  -0.319E-06
  120.5500   22.7000  -0.136E-06
  120.5500   22.4000  -0.129E-06
  120.5500   22.5000  -0.285E-06
  120.6000   22.4000  -0.203E-06
  120.6000   22.9000  -0.348E-06
  120.6000   22.7500   0.418E-08
  120.6000   22.5000  -0.248E-06
  120.6000   22.6500  -0.242E-06
  120.6000   22.4500  -0.238E-06
  120.6000   22.3500   0.159E-07
  120.6000   22.6000  -0.304E-06
  120.6000   22.8500  -0.384E-06
  120.6000   22.5500  -0.274E-06
  120.6000   22.7000  -0.539E-07
  120.6000   22.8000  -0.174E-06
