Table 2. Velocities of cGPS stations in the Taiwan area w.r.t. Paisha, Penghu (2007-2013)
Site	Lon. (ขX)	Lat. (ขX)	Vh (mm/yr)	Azi(ขX)		Vu (mm/yr)   Period (year)
WUKU    121.40066       25.11728        2.6กำ0.4        29.5กำ6.5       -2.4กำ1.5       2007~2014    
WUST    120.36817       23.20524        11.1กำ0.6       276.2กำ1.6      1.1กำ1.3        2007~2014    
YAME    121.18529       24.90845        3.4กำ0.4        356.6กำ5        0.9กำ1.4        2007~2014    
YENC    120.37615       22.76351        55.6กำ1.8       259.2กำ1.1      -1.2กำ7.7       2007~2009.3  
YENL    121.60184       23.9035         37.4กำ0.9       317.4กำ1        -8.1กำ1.9       2007~2014    
YM01    121.53954       25.17888        2.9กำ0.9        56.3กำ11.3      -2.8กำ3.8       2007~2014    
YM02    121.56069       25.14838        3.2กำ0.7        86.4กำ8.9       5.9กำ3.7        2007~2014    
YM03    121.6049        25.14661        3.6กำ0.6        80.3กำ6.5       -3.3กำ2         2007~2013.9  
YM04    121.58547       25.1876         1.6กำ2.4        150.3กำ53.4     5.3กำ9.1        2007~2011    
YM05    121.56548       25.164          3.5กำ0.7        70กำ7           -2.9กำ1.8       2007~2014    
YNTS    121.77893       24.86174        4.4กำ0.6        79.5กำ5.2       -0.2กำ1.8       2007~2014    
YSAN    120.08598       23.14655        1.4กำ0.4        171.9กำ12.1     -6.1กำ1.4       2007~2014    
YUL1    121.30021       23.32138        35.9กำ2.1       308.7กำ2.3      -16.1กำ8.7      2011~2014    
YULI    121.30113       23.34093        40.3กำ2.8       308.9กำ3        -12.3กำ9        2007~2010.9  
YUNL    120.79857       23.88388        20.8กำ0.6       295.6กำ1        4.6กำ2.4        2007~2014    
YUSN    120.95914       23.4873         39.2กำ1.7       282.5กำ0.8      -3กำ2.6         2007~2014    
ZEND    120.21756       22.94327        13.5กำ0.6       263.2กำ1.7      4.1กำ2.9        2007~2014    
ZWEN    120.49734       23.21974        24.9กำ0.4       270.7กำ0.7      9.3กำ1.5        2007~2014    
