Table 2. Velocities of cGPS stations in the Taiwan area w.r.t. Paisha, Penghu (2007-2013)
Site	Lon. (ขX)	Lat. (ขX)	Vh (mm/yr)	Azi(ขX)		Vu (mm/yr)   Period (year)
GS13    121.45224       25.02001        3.7กำ0.7        34.1กำ8.3       -6.3กำ3.2       2007~2014    
GS14    120.95945       24.80322        2.9กำ0.3        350.2กำ3.9      -1.9กำ1.2       2007~2014    
GS15    120.9905        24.76665        3.8กำ0.3        341.6กำ3        -0.7กำ1.2       2007~2014    
GS16    121.04161       24.74787        4.6กำ0.4        339.6กำ3.6      -0.4กำ1.3       2007~2014    
GS17    120.60584       23.56115        17.8กำ0.4       288.6กำ1        1.9กำ1.5        2007~2014    
GS18    120.47378       23.48498        10.9กำ0.4       287.1กำ1.6      -1กำ1.2         2007~2014    
GS19    121.67981       25.07174        4.6กำ0.6        73.5กำ6.2       -0.6กำ2.2       2007~2012.4  
GS20    121.94321       24.8419         15.3กำ0.7       121.6กำ2.1      -19.3กำ1.7      2007~2014    
GS21    120.51241       24.09648        1.5กำ0.3        293.2กำ7.5      -3.1กำ1.3       2007~2014    
GS22    120.6039        24.09133        3.4กำ0.3        298.1กำ3.4      -3.6กำ1.3       2007~2014    
GS23    120.64816       24.0937         4.3กำ0.4        302.6กำ3.1      -2.1กำ1.8       2007~2014    
GS24    120.52644       24.02564        1.9กำ0.4        295.2กำ6.8      -8.1กำ2.1       2007~2014    
GS25    120.64059       23.98667        4.6กำ0.4        299.9กำ3.7      -3.9กำ1.9       2007~2014    
GS26    120.5787        23.82489        4.8กำ0.4        294.4กำ2.6      -1.9กำ1.6       2007~2014    
GS27    120.64631       23.87021        4.1กำ0.4        299.1กำ3.2      -2.2กำ1.8       2007~2014    
GS28    120.21358       23.07986        5.4กำ0.6        270กำ3.2        -3.8กำ2.9       2007~2014    
GS29    120.31755       23.07537        10.1กำ0.5       265.5กำ1.7      2.7กำ1.3        2007~2014    
GS30    120.22612       23.02032        11.4กำ0.4       270กำ1.5        0.2กำ1.3        2007~2014    
GS31    120.27588       23.01875        15.9กำ0.5       265.3กำ0.7      -2.5กำ1.3       2007~2014    
GS32    120.33584       23.02714        19.9กำ0.6       259กำ0.9        1.2กำ1.3        2007~2014    
GS33    120.18695       22.96369        10.7กำ0.4       268.9กำ1.1      -3กำ1.2         2007~2014    
GS34    120.27632       22.93612        23กำ0.6         267กำ0.5        3.1กำ1.3        2007~2014    
GS35    120.30849       22.93581        23.6กำ0.5       264.4กำ0.5      4.1กำ1.6        2007~2014    
GS36    120.6253        24.362          2.1กำ0.4        307.4กำ6.5      -2.3กำ1.2       2007~2014    
GS37    120.7154        24.3286         4.4กำ0.4        298.3กำ3.9      -2.9กำ1.3       2007~2014    
GS38    120.6006        24.2798         1.6กำ0.4        291.8กำ7.7      -3.2กำ1.3       2007~2014    
GS39    120.5296        24.1844         1.5กำ0.4        306.9กำ9.2      -2.9กำ1.2       2007~2014    
GS40    120.5763        24.1812         2.5กำ0.4        316.6กำ5.8      -2.9กำ1.1       2007~2014    
GS41    120.4449        23.3776         10.8กำ0.6       288.3กำ2.6      -4.3กำ2.1       2007.9~2014  
GS42    120.452         23.2732         18.4กำ0.5       278.7กำ0.9      4.5กำ1.7        2007.9~2014  
GS43    120.3736        23.2572         8.5กำ0.5        282.9กำ2.1      -1.7กำ1.7       2007.9~2014  
GS44    120.4004        23.2222         15.3กำ0.4       273กำ1.1        5.8กำ1.7        2007.9~2014  
GS45    120.728         22.7525         57.3กำ0.9       272.7กำ0.6      8.5กำ4.2        2009~2014    
GS46    120.6395        22.5297         57.1กำ0.8       271.4กำ0.6      2.6กำ4.4        2009~2014    
GS47    120.737         21.9506         37.8กำ2.4       278.8กำ1.6      -30.6กำ5        2009~2013.6  
GS51    120.54006       23.00022        47.7กำ0.9       266.6กำ0.7      6กำ3.3          2010~2014    
GS52    120.65472       23.03402        50.1กำ0.9       270.8กำ0.7      6กำ3.5          2010~2014    
GS53    120.39831       22.83998        42.2กำ0.9       259.6กำ0.8      8กำ4.1          2010~2014    
GS54    120.45209       22.8371         53.8กำ1.1       265.2กำ0.7      -0.1กำ4         2010~2013.5  
GS55    120.60224       22.85069        56.1กำ1.1       270.7กำ0.8      2.2กำ3.5        2009.9~2014  
GS56    120.60173       22.70388        57.3กำ1         269.3กำ0.6      1กำ4            2010~2014    
GS57    120.76485       22.12753        47.1กำ1.6       279.9กำ1        1.3กำ4.8        2010~2014    
GS58    120.83892       22.12637        43.2กำ1.2       289.2กำ1        -2.6กำ5         2010~2014    
GS59    120.70439       22.0574         49.3กำ1.1       269.5กำ0.8      -3.4กำ4.2       2010~2014    
GS60    120.80973       22.00754        43.4กำ1.6       287.6กำ1.2      1.1กำ5.2        2010~2014    
GS61    121.20048       24.6788         8.2กำ1.4        341.6กำ8.1      0.5กำ6.5        2010.8~2014  
GS62    121.24302       24.73348        7.8กำ1.3        352.6กำ8.1      0.3กำ5.1        2010.8~2014  
GS63    120.62683       23.54326        18.3กำ2.2       285.9กำ5.8      4.2กำ4.4        2010.7~2014  
GS64    120.71215       23.40764        30.1กำ1.2       279.2กำ1.5      4กำ4.7          2010.7~2014  
GS66    120.7415        23.45619        28.9กำ1.3       279.4กำ1.8      6.2กำ4.5        2010.7~2014  
GS67    120.67515       23.33968        30.4กำ1.1       281.8กำ1.3      4กำ4.3          2010.7~2014  
GS68    120.4877        23.6071         7.7กำ1.4        280.4กำ5.4      -5.3กำ6.3       2011~2014    
GS69    121.37797       24.96777        3.5กำ2.4        50.8กำ27.5      1กำ11.4         2011.7~2014  
GUKN    120.58878       23.64586        9.1กำ0.4        304.7กำ1.8      -1.1กำ2         2007~2014    
GUKW    121.00655       24.2022         19กำ0.6         308.4กำ1.3      2.3กำ3.8        2007~2014    
HANS    121.68714       24.60951        19.6กำ0.8       94.1กำ2         -1.9กำ2.1       2007~2014    
HENC    120.74645       22.00393        51.7กำ0.8       271.6กำ0.4      -5.6กำ2.2       2007~2014    
HERI    121.58092       25.29444        2.2กำ0.5        39.5กำ9.4       -0.6กำ1.6       2007~2014    
HLIU    120.99417       23.79303        35.1กำ1         294.4กำ1.1      1.1กำ3.3        2007~2014    
HOKN    120.13488       23.18838        1.9กำ0.3        261กำ6          -7.5กำ1.3       2007~2014    
HOPN    120.89488       24.17078        17.2กำ0.9       297กำ2.5        -9.7กำ3.3       2007~2014    
HRGN    121.4051        23.55528        49.9กำ0.6       307.7กำ0.5      -12.7กำ2.4      2007~2014    
HSIN    121.01425       24.82775        2.4กำ0.4        345.4กำ7.1      -1.6กำ1.3       2007~2014    
HSUE    121.02645       24.28059        19.9กำ0.9       306.6กำ1.7      -3.8กำ2.6       2007~2014    
HUAL    121.61351       23.97538        27.6กำ0.7       302.7กำ1        -7กำ2.1         2007~2014    
HUAN    121.27262       24.14347        23.2กำ1.1       313.6กำ1.9      0.6กำ1.8        2007.1~2014  
HUAP    121.74944       24.309          12.3กำ0.9       158กำ3.2        -3กำ3.2         2007~2014    
HUWE    120.28662       23.7294         2กำ0.3          339.8กำ5.7      -30.2กำ2.7      2007~2014    
HUYS    121.02941       24.09233        25.4กำ0.5       296กำ0.7        6กำ1.6          2007~2014    
ICHU    120.2793        23.36066        5.1กำ0.4        283.5กำ3.3      -10.5กำ1.5      2007~2014    
ILAN    121.75662       24.76404        8.8กำ0.4        117.7กำ2        -8.4กำ1.7       2007~2014    
JLUT    120.62278       22.32996        53.7กำ0.6       271.6กำ0.4      -0.1กำ1.9       2007~2014    
JONP    120.524         23.42297        14.5กำ0.4       288.9กำ1.2      2.2กำ1.3        2007~2014    
JPEI    121.37139       23.5316         35.9กำ0.9       309กำ0.9        -4.5กำ2.6       2007~2014    
JPIN    121.35889       23.34108        61กำ0.5         316.1กำ0.3      6.5กำ1.8        2007~2014    
JSUI    121.42389       23.49198        60.4กำ0.7       313กำ0.4        -0.7กำ2.7       2007~2014    
JYAN    121.22634       24.24247        20กำ0.7         332.7กำ1.4      3.3กำ1.8        2007~2014    
KASU    120.63298       22.81019        58กำ1.1         268.6กำ0.8      3.7กำ2.6        2007.3~2014  
KNKO    121.50574       23.47221        67.6กำ0.4       314.2กำ0.3      -6.4กำ2         2007~2014    
KSHI    121.17603       24.77666        5.3กำ1          335.4กำ9.2      -4.9กำ8.2       2007~2014    
KUAN    121.16425       23.04968        34กำ0.9         296กำ1          -6กำ3.1         2007~2014    
KULN    120.50702       23.33098        23.4กำ0.5       279.8กำ0.7      6.5กำ1.5        2007~2014    
KYIN    121.08042       25.04105        2กำ0.4          342.5กำ8.4      0.9กำ1.3        2007~2014    
