>>time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019/7/24,36.1945,-117.8875,1.42,3.47,ml,48,57,0.08118,0.18,ci,ci38638455,2019-10-11T20:12:27.040Z,"14km SE of Olancha, CA",earthquake,0.16,0.46,0.138,285,reviewed,ci,ci
2019/7/24,35.519,-117.4085,8.11,2.61,ml,41,33,0.03636,0.18,ci,ci38638335,2019-07-24T22:52:02.596Z,"26km NE of Johannesburg, CA",earthquake,0.23,0.54,0.105,24,automatic,ci,ci
2019/7/24,35.7716667,-117.5781667,1.14,2.65,ml,37,66,0.04671,0.19,ci,ci38638095,2019-07-24T20:56:29.450Z,"16km W of Searles Valley, CA",earthquake,0.21,0.4,0.15,26,automatic,ci,ci
2019/7/24,35.6636667,-117.5216667,9.51,2.84,ml,47,36,0.05673,0.13,ci,ci38638023,2019-07-24T20:54:00.456Z,"15km ENE of Ridgecrest, CA",earthquake,0.11,0.26,0.15,124,reviewed,ci,ci
2019/7/24,35.9441667,-117.662,1.64,2.76,ml,33,51,0.04966,0.14,ci,ci38636535,2019-07-24T15:43:08.799Z,"22km E of Little Lake, CA",earthquake,0.18,0.3,0.215,26,automatic,ci,ci
2019/7/24,35.6068333,-117.6045,3.13,3.75,mw,82,22,0.03258,0.16,ci,ci38636511,2020-02-12T22:06:46.371Z,"7km ESE of Ridgecrest, CA",earthquake,0.09,0.16,,4,reviewed,ci,ci
2019/7/24,35.6283333,-117.4331667,5.3,2.51,ml,38,55,0.03751,0.16,ci,ci38636303,2019-07-24T14:03:39.900Z,"16km S of Searles Valley, CA",earthquake,0.23,0.34,0.18,25,automatic,ci,ci
2019/7/24,35.597,-117.4315,6.24,2.51,ml,37,42,0.02713,0.14,ci,ci38635783,2019-07-24T11:55:19.560Z,"19km S of Searles Valley, CA",earthquake,0.21,0.41,0.205,25,automatic,ci,ci
2019/7/24,35.6628333,-117.4556667,10.58,2.75,ml,39,34,0.02615,0.14,ci,ci38635255,2019-07-24T15:03:51.963Z,"12km SSW of Searles Valley, CA",earthquake,0.2,0.33,0.146,24,automatic,ci,ci
2019/7/24,35.8245,-117.668,1.22,2.73,ml,38,40,0.05795,0.26,ci,ci38635151,2019-07-25T00:48:00.591Z,"23km N of Ridgecrest, CA",earthquake,0.27,0.72,0.149,25,automatic,ci,ci
