# lon lat depth mag.
121.815 24.929 104.5 3.71
121.314 21.389 52.5 4.71
121.915 23.148 25.1 3.48
121.923 24.154 23.0 3.37
121.990 24.021 18.1 3.79
121.700 23.921 34.1 3.51
122.052 23.690 22.4 3.65
121.334 22.976 17.5 3.02
121.537 24.009 20.6 3.27
121.096 22.290 7.5 3.35
121.980 24.076 27.6 3.4
122.003 24.056 29.1 3.27
121.725 23.424 33.8 4.4
121.702 23.461 32.9 3.21
121.747 23.998 40.0 3.17
121.428 23.731 3.4 3.22
121.119 22.896 5.4 3.01
121.696 23.890 35.2 3.35
120.656 22.808 29.4 3.12
120.693 22.864 8.3 3.13
121.873 24.897 112.2 3.17
120.667 22.833 22.8 3.14
120.974 23.852 17.9 3.15
121.701 23.474 29.0 3.74
121.792 24.921 93.7 3.02
121.465 23.749 2.0 3.18
122.091 24.836 89.1 3.36
121.455 21.320 78.2 4.89
121.908 23.855 0.8 3.21
121.956 24.337 4.6 3.17
121.039 22.371 1.2 3.41
121.996 24.151 29.6 3.11
121.051 22.514 1.4 3.04
121.967 24.385 13.2 3.07
121.899 24.402 11.6 3.66
121.366 22.821 26.7 3.58
121.984 24.359 22.2 3.11
121.290 23.087 32.3 3.12
121.880 24.234 54.0 3.12
122.547 24.800 124.5 3.47
122.676 24.678 112.1 3.78
120.680 22.863 8.7 3.55
120.530 22.094 47.2 3.96
121.740 24.142 26.2 3.46
122.502 24.777 118.4 3.66
121.990 23.747 33.0 4.1
121.752 23.848 43.7 3.99
121.688 23.805 33.4 3.2
122.570 22.433 13.8 4.59
121.599 23.463 26.7 3.46
121.949 24.195 25.2 3.32
120.661 22.811 24.0 3.4
121.393 23.151 9.0 3.64
121.350 23.139 5.3 3.3
121.813 24.201 25.6 3.35
120.851 23.535 0.2 3.1
121.661 23.494 28.1 3.5
122.142 24.051 1.7 3.46
122.009 24.226 25.0 3.52
122.157 24.291 46.3 3.61
121.343 22.527 24.6 4.21
121.647 23.648 40.2 3.28
122.073 24.790 83.2 3.15
121.930 23.656 24.0 3.57
122.157 23.666 28.2 3.64
122.581 24.806 95.4 3.56
121.619 23.672 29.0 3.03
122.370 23.757 8.3 3.68
122.088 24.101 29.2 3.49
121.665 24.186 24.6 3.29
121.400 23.821 11.8 3.32
121.579 21.617 88.1 4.49
122.800 23.948 18.4 4.25
121.957 24.224 31.2 3.14
121.358 22.967 20.1 3.42
120.709 23.360 0.8 3.49
121.454 24.064 55.1 3.05
121.879 23.851 12.8 3.68
121.948 24.436 3.0 3.04
120.892 22.669 0.5 4.03
122.442 24.041 16.6 3.91
120.937 22.668 21.7 3.01
122.110 24.883 1.4 3.04
121.648 23.282 35.9 3.74
122.077 24.375 53.6 3.38
122.791 23.817 7.2 3.77
121.946 24.357 15.7 3.6
121.814 24.377 4.5 3.04
121.572 23.404 23.5 3.56
121.814 24.663 73.7 3.11
121.812 24.343 6.2 3.64
122.277 24.944 7.8 3.0
120.887 22.658 0.4 4.27
122.091 23.283 13.2 3.76
122.647 24.553 80.8 3.54
121.088 22.740 2.4 3.61
121.744 23.862 11.8 3.2
120.370 23.355 10.3 3.29
121.763 23.922 8.9 3.13
121.086 22.759 2.0 4.12
121.806 24.014 20.6 3.03
121.033 23.710 23.3 3.2
120.899 22.668 2.8 3.12
121.681 23.411 25.9 3.67
121.087 22.751 0.7 3.23
120.886 22.649 0.4 3.64
122.584 24.006 5.9 3.65
122.137 24.796 29.7 3.6
121.124 22.803 0.3 4.01
122.058 24.302 4.4 3.71
122.002 24.315 4.4 3.22
122.656 24.098 20.6 3.75
121.732 23.971 15.1 3.51
121.628 23.567 35.4 3.48
122.171 24.299 42.6 3.19
121.372 22.233 16.3 3.4
121.959 22.436 42.6 4.03
121.929 22.078 0.4 4.57
120.946 24.269 34.9 3.21
120.812 23.455 2.0 3.07
121.076 22.745 0.6 3.27
121.081 22.748 0.4 3.19
121.719 23.950 29.2 3.4
122.568 24.792 95.7 3.74
121.066 22.740 2.3 3.28
121.079 22.753 1.4 3.46
121.242 23.756 1.7 3.12
120.746 23.882 11.0 3.37
121.998 24.352 23.7 3.22
121.407 23.756 1.0 3.23
122.285 24.865 127.4 3.87
120.848 22.557 0.8 3.59
120.829 22.538 9.1 3.21
121.849 24.239 6.1 3.78
121.692 23.971 37.1 3.19
120.511 23.073 16.9 3.23
121.387 22.535 88.5 3.84
121.459 22.070 38.2 4.11
120.689 23.578 11.0 3.0
121.370 22.255 5.7 3.29
121.575 23.747 20.9 3.01
119.872 22.183 35.0 3.91
121.094 22.775 5.3 3.01
120.426 23.190 5.4 3.42
122.008 24.241 36.0 3.03
121.494 23.623 8.0 3.5
121.928 23.688 17.8 3.55
121.866 24.231 7.8 3.05
121.829 23.536 18.7 4.64
