> AF-AN     
-14.018     -11.655                  
-14.512     -11.771                  
-14.908     -12.339                  
-14.791     -12.656                  
-14.41      -13.218                  
-14.478     -14.208                  
-13.226     -15.663                  
-13.239     -16.212                  
-13.77      -16.323                  
-14.238     -16.764                  
-14.079     -17.995                  
-13.519     -17.893                  
-12.759     -18.785                  
-12.263     -19.935                  
-11.852     -20.278                  
-11.763     -21.176                  
-11.849     -21.735                  
-11.819     -22.153                  
-12.364     -22.267                  
-12.851     -22.63                   
-13.34      -22.73                   
-13.664     -23.544                  
-13.28      -24.777                  
-13.663     -25.648                  
-13.816     -26.586                  
-13.272     -28.321                  
-12.533     -28.941                  
-13.262     -29.098                  
-13.82      -29.851                  
-13.367     -31.157                  
-13.245     -32.143                  
-13.883     -32.275                  
-14.367     -33.499                  
-14.515     -34.043                  
-15.083     -34.69                   
-15.1       -35.182                  
-16.027     -35.343                  
-16.962     -35.499                  
-17.085     -36.472                  
-17.233     -37.374                  
-17.051     -38.447                  
-15.922     -39.681                  
-16.47      -40.273                  
-15.594     -45.476                  
-14.715     -45.898                  
-13.325     -47.578                  
-12.61      -47.471                  
-11.898     -47.361                  
-11.189     -47.245                  
-9.71       -49.216                  
-8.922      -49.091                  
-8.022      -49.283                  
-7.638      -50.059                  
-7.159      -50.61                   
-6.16       -50.417                  
-4.238      -52.049                  
-2.372      -54.327                  
> AU-AN
70.409      -26.06                   
70.994      -26.187                  
71.58       -26.454                  
72.066      -26.656                  
72.92       -27.573                  
73.399      -27.655                  
74.406      -28.317                  
74.994      -29.264                  
75.554      -29.839                  
75.515      -30.118                  
76.204      -30.906                  
76.689      -31.465                  
78.086      -33.194                  
78.488      -34.807                  
78.803      -35.161                  
79.184      -36.511                  
78.606      -36.998                  
78.706      -38.001                  
78.529      -38.659                  
78.384      -39.262                  
78.425      -39.905                  
79.99       -41.892                  
80.464      -41.512                  
83.439      -42.89                   
83.853      -42.551                  
84.263      -42.21                   
84.669      -41.868                  
85.07       -41.525                  
85.466      -41.18                   
88.06       -41.997                  
95.04       -44.619                  
96.698      -45.471                  
96.274      -45.996                  
99.624      -47.978                  
106.554     -49.101                  
108.285     -49.182                  
114.024     -50.388                  
115.988     -49.852                  
120.273     -50.036                  
120.516     -49.524                  
121.555     -49.006                  
123.328     -49.585                  
125.896     -49.717                  
126.074     -49.401                  
126.264     -49.044                  
127.313     -48.764                  
127.243     -49.294                  
127.196     -49.643                  
