> AF-AN
> AF-SA
-45.13      15.267                    
-45.136     14.647                    
-45.142     14.026                    
-45.061     13.992                    
-45.049     13.336                    
-44.262     12.626                    
-43.884     12.085                    
-43.903     11.506                    
-41.087     10.787                    
-40.861     9.973                     
-40.64      9.373                     
-40.12      8.815                     
-38.221     8.14                      
-36.865     7.654                     
-36.058     7.363                     
-35.367     6.935                     
-33.624     6.618                     
-33.514     6.076                     
-32.978     5.647                     
-32.92      4.804                     
-30.962     4.061                     
-30.887     3.255                     
-30.811     2.449                     
-30.027     1.607                     
-26.474     1.159                     
-25.029     0.614                     
-24.821     -0.245                    
-16.498     0.299                     
-16.037     -0.52                     
-15.565     -1.073                    
-13.158     -0.915                    
-12.93      -1.507                    
-12.164     -1.945                    
-11.999     -2.4                      
-11.834     -2.855                    
-12.029     -3.013                    
-11.898     -3.493                    
-12.097     -4.103                    
-12.144     -4.609                    
-11.604     -4.942                    
-11.167     -5.377                    
-11.267     -6.02                     
-13.621     -7.367                    
-13.489     -7.889                    
-13.191     -8.374                    
-13.248     -9.276                    
-13.315     -9.825                    
-13.174     -10.623                   
-15.006     -11.885                   
-14.861     -12.32                    
-14.55      -12.577                   
-14.6       -13.266                   
-14.539     -13.737                   
-13.643     -14.035                   
-13.435     -14.849                   
-13.384     -15.688                   
-14.302     -16.433                   
-14.369     -16.777                   
-14.224     -17.386                   
-12.96      -17.79                    
-12.86      -18.287                   
-12.477     -18.747                   
-12.37      -19.341                   
-11.945     -19.825                   
-11.971     -20.299                   
-12.007     -21.209                   
-11.936     -21.752                   
-12.91      -22.379                   
-13.829     -22.829                   
-13.57      -23.514                   
-13.426     -24.146                   
-13.811     -24.887                   
-14.049     -25.738                   
-13.69      -26.564                   
-13.482     -27.443                   
-12.746     -28.213                   
-13.99      -29.251                   
-13.716     -29.828                   
-13.543     -30.491                   
-13.499     -31.179                   
-13.371     -31.661                   
-14.523     -32.4                     
-14.446     -32.898                   
-14.702     -33.569                   
-15.274     -34.238                   
-15.266     -34.77                    
-17.703     -35.663                   
-17.419     -36.068                   
-17.44      -36.562                   
-17.333     -36.944                   
-17.533     -37.472                   
-17.388     -38.025                   
-16.799     -38.401                   
-16.361     -38.558                   
-16.044     -38.883                   
-15.965     -39.352                   
-16.415     -39.79                    
-16.867     -40.366                   
-16.817     -40.79                    
-16.744     -41.176                   
-16.678     -41.519                   
-16.332     -41.806                   
-16.215     -42.338                   
-16.43      -42.868                   
-16.33      -43.387                   
-16.244     -43.683                   
