> Extract data for Taiwan Segment 22
121.601206488	23.945428759
121.605109656	23.9400906133
121.603835991	23.9382766802
121.603835991	23.9382766802
121.605808118	23.9366700539
121.605520516	23.9358408273
121.601453004	23.924542616
121.597796351	23.8879011691
121.591962141	23.858411801
121.580992183	23.8346751919
121.576061865	23.8179351815
121.57335019	23.8144627955
121.569241592	23.8090728231
121.566406659	23.8017652644
121.565584939	23.7751781891
121.568419872	23.7597856718
121.566612089	23.752944553
121.557942946	23.7365155026
121.546808644	23.7200864521
121.544507829	23.7137117733
121.544425657	23.7086845875
121.54808231	23.6989930025
121.546972988	23.696349843
121.542946562	23.6864509514
121.537892986	23.6559768768
121.532798323	23.6479955715
121.530744024	23.6402215729
121.526512168	23.6203201364
121.526060222	23.598293807
121.519404292	23.5739352779
121.517473251	23.5669386792
121.506831981	23.5496285756
121.503709446	23.5336141384
121.498368268	23.5240262068
121.497751979	23.5134535686
121.500340396	23.4985274913
121.503750532	23.4934484788
121.507694787	23.4913754125
121.507900217	23.4874884132
121.510858408	23.4842233338
121.50407922	23.477382215
121.4944651	23.4610049912
121.490931705	23.4346252226
121.480783467	23.4138427329
121.477660932	23.4003678019
121.475442289	23.3973618558
121.469073961	23.388706804
121.467512694	23.3575589828
121.46315758	23.3463644248
121.464595589	23.3394714794
121.457364456	23.3160976568
121.455104727	23.3131435373
121.448900743	23.3125216175
121.442655673	23.3075462583
121.427577117	23.2876966485
121.425522818	23.2849498357
121.421907251	23.2703347182
121.416853675	23.2637009061
121.411841185	23.2355072044
121.415744353	23.2283551257
121.415210236	23.2251936995
121.410690777	23.2194927672
121.39746109	23.2099566622
121.393147062	23.2028564102
121.39306489	23.1957561581
121.399556475	23.1743517485
121.403213128	23.1672514965
121.395324619	23.1466244868
121.396762628	23.1427374874
121.396228511	23.1379176083
121.40206272	23.126619397
121.405760459	23.1252200772
121.40748607	23.122680571
121.398447154	23.1147510924
121.391791224	23.1168241587
121.383943801	23.1029346145
121.379465429	23.0977001221
121.36656443	23.098011082
121.353293657	23.0875939239
121.349760262	23.0811674183
121.351691303	23.0763475392
121.344213654	23.0695064204
121.342405871	23.0649456745
121.342077183	23.0559796628
121.334928222	23.0324503603
121.331641343	23.028096921
121.329340528	23.020996669
121.32461564	23.0178352428
121.323341974	23.0130153637
121.320342697	23.0105276841
121.316768216	23.0018208057
121.317179076	22.9928547939
121.307359526	22.9746118105
121.298649297	22.9649720522
121.291089476	22.9565761337
121.283858343	22.9552804672
121.277859789	22.9468327221
121.263890554	22.9127307814
121.242566928	22.8826194934
121.232377604	22.8774368276
121.230076789	22.8698701357
121.227324028	22.8671233228
121.223585203	22.8675897627
121.219394433	22.8681080293
121.209492711	22.8652057365
121.200782482	22.8618370037
121.189072976	22.8531819519
121.186320215	22.8488285127
121.183731798	22.8371675148
121.192647457	22.8079372799
121.192318769	22.7987639615
121.190552072	22.7937367758
121.186566731	22.7933221625
121.180814693	22.7876212302
121.177527815	22.775234659
121.175268086	22.7718140996
121.168447812	22.7587537819
121.166434599	22.7555923558
121.160970163	22.7533119829
121.128060289	22.722578775
121.10595603	22.7100885505
121.099998562	22.7083264442
121.083358738	22.7022108986
121.069184073	22.6917937404
121.065527421	22.688684141
121.059487781	22.6835533019
121.035616824	22.6704411575
121.025180984	22.6617861057
121.015402519	22.6441650422
121.011088491	22.6301718447
121.006404689	22.5966918239
121.000611565	22.5861710124
120.979986401	22.5681871623
120.971481602	22.5533129116
120.9603473	22.5207657707
120.950281234	22.4949042686
120.942885757	22.4609578079
120.941365575	22.4598176214
120.926821137	22.4222432947
120.919548917	22.4112560433
120.900197419	22.3604140923
120.894979499	22.3537802802
120.888446827	22.3342934569
120.887460763	22.3255347518
120.885529722	22.307654555
120.888693343	22.2635500694
120.893911263	22.2325577282
120.889884837	22.2213113436
120.890788728	22.2086656391
120.888898773	22.2007361605
120.886967732	22.1923920687
120.890049181	22.1746673518
120.885776238	22.1648202869
120.888200311	22.1565280217
120.887666193	22.1480802765
120.890583298	22.14709557
120.891569362	22.145281637
120.881914156	22.135901012
120.880147458	22.1299409464
120.881338952	22.1239808808
120.886433614	22.1134082426
120.892062394	22.1073963503
120.893500403	22.1032502177
120.885529722	22.0869248206
120.884749089	22.0853700209
120.885817324	22.0603377453
120.889186375	22.0495059739
120.893829091	22.041472842
120.893788005	22.0380004559
120.882900219	22.0288789642
120.879120309	22.0180990195
120.872710895	22.0160777798
120.8712318	22.0126572204
120.872176777	22.0078373413
120.867451889	22.0014108357
120.850647721	21.9932222238
120.843005728	21.992133864
120.840294053	21.990319931
120.840006451	21.982753239
120.835692423	21.9630072825
120.836103283	21.9540412708
120.840951429	21.9411364331
120.848552336	21.9304083149
120.855085008	21.9210795166
120.854304374	21.9130463847
120.858207542	21.9056869993
120.857180393	21.9031474931
120.853975686	21.9018
120.847812788	21.9020591333
120.84390962	21.9043913329
120.838363012	21.9195765435
120.831214051	21.9203021167
120.820737125	21.9325332079
120.815067259	21.9369384738
120.80574074	21.9379231803
120.798632865	21.9446088191
120.796414222	21.9402553799
120.794154492	21.9393225
120.791278474	21.9455416989
120.78610164	21.9483403384
120.775542541	21.9493250449
120.757382536	21.9616079628
120.754424345	21.9611415229
120.740824884	21.9483403384
120.738524069	21.9362129006
120.734292213	21.9261067024
120.729813841	21.9215459565
120.725376554	21.9199393301
120.71999429	21.9218050898
120.710215826	21.9333624344
120.705532024	21.9331551278
120.703847498	21.9400480732
120.705696368	21.949169565
120.70914759	21.965961402
120.708490215	21.9763267335
120.706066142	21.9838934255
