==============================================================================================
There are 77 records found

Search criteria:
  Start: 1996-03-28		End: 2020-04-21
  6.0 <= ML <= 10 		0 <= Depth <= 999 		0 <= Plunge <= 90
  Archived Solutions

File Header:
Date, Time, Latitude, Longitude, CWB Depth, ML, strike1, dip1, slip1, strike2, dip2, slip2, m11, m22, m33, m12, m13, m23, Mrr, Mtt, Mff, Mrt, Mrf, Mtf, exponentexponent, M0, Mw, Centroid_depth, CLVD, ISO, misfit, gap, nsta, Paz, Ppl, Baz, Bpl, Taz, Tpl, QC
2000-07-28,20:28:07.72,23.4110,120.9326,7.35,6.10,350.93,66.85,-21.28,89.63,70.51,-155.35,0.852671,0.026607,-0.879278,2.436562,-0.807658,0.723355,-0.879278,0.852671,0.026607,-0.807658,-0.723355,-2.436560,24,2.80407e+24,5.57,4,16.6,0.0,0.454,145.900,5,-48.886,30.928,125.662,58.958,-140.330,2.409,B2
2000-09-10,08:54:46.53,24.0853,121.5838,17.74,6.20,69.95,37.82,120.22,213.55,58.00,68.66,-3.730060,-2.480317,3.646628,2.287671,-0.186620,2.462160,3.646628,-3.730060,-2.480317,-0.186620,-2.462160,-2.287670,24,5.29265e+24,5.75,24,17.8,-14.8,0.310,202.800,7,-41.278,10.598,-134.758,17.977,77.801,68.945,B4
2001-06-13,13:17:54.15,24.3811,122.6065,64.41,6.25,48.20,38.98,139.34,171.93,65.81,58.46,0.076941,-1.784392,1.707451,0.913423,0.982045,1.397087,1.707451,0.076941,-1.784392,0.982045,-1.397090,-0.913423,24,2.60831e+24,5.55,66,26.2,0.0,0.259,265.200,7,-75.544,15.062,-173.947,28.502,39.024,57.088,A3
2001-06-14,02:35:25.78,24.4188,121.9280,17.29,6.30,84.60,47.34,-18.29,187.23,76.66,-135.86,1.503365,1.098802,-1.384299,-4.158062,-0.671202,-3.824377,-1.384299,1.503365,1.098802,-0.671202,3.824380,4.158060,24,5.92096e+24,5.79,25,7.8,6.6,0.382,231.600,7,55.766,39.968,-159.399,44.286,-50.443,18.420,B2
2001-12-18,04:03:00.75,23.8670,122.6520,12.00,6.70,238.01,71.86,5.73,146.22,84.55,161.78,-1.637164,1.371805,0.265359,-0.690905,0.224170,0.463408,0.265359,-1.637164,1.371805,0.224170,-0.463408,0.690905,26,1.74889e+26,6.77,25,21.0,0.0,0.605,272.200,7,-166.595,8.804,-49.854,71.006,100.743,16.693,C3
2002-02-12,03:27:25.,23.7406,121.7226,29.98,6.20,242.52,41.07,133.56,10.93,61.57,59.01,0.067407,-0.971667,3.911007,2.010408,-0.800463,-2.103987,3.911007,0.067407,-0.971667,-0.800463,2.103990,-2.010410,24,4.15109e+24,5.68,37,17.9,19.5,0.341,212.200,7,122.721,11.330,26.882,26.919,-126.603,60.428,B4
2002-03-31,06:52:49.95,24.1398,122.1915,13.81,6.80,305.41,50.18,132.28,70.57,55.37,51.10,-3.610584,0.127645,2.053288,-0.557073,0.507069,-1.722795,2.053288,-3.610584,0.127645,0.507069,1.722800,0.557073,26,3.48852e+26,6.97,52,21.5,-12.9,0.581,263.000,7,-173.036,2.923,95.198,31.112,-78.215,58.720,C4
2002-05-15,03:46:05.91,24.6510,121.8718,8.52,6.20,12.86,58.65,165.36,110.60,77.54,32.20,0.684046,-1.207216,0.523170,-1.464754,1.018445,0.058521,0.523170,0.684046,-1.207216,1.018445,-0.058521,1.464750,25,2.07018e+25,6.15,24,10.6,0.0,0.461,230.400,7,-121.613,12.431,129.521,55.718,-23.891,31.366,B2
2002-05-28,16:45:14.97,23.9130,122.3968,15.23,6.20,301.74,36.70,131.46,73.96,63.40,63.73,-8.465616,0.842387,7.623229,-1.559360,4.695950,-4.010583,7.623229,-8.465616,0.842387,4.695950,4.010580,1.559360,24,1.02866e+25,5.95,26,18.4,0.0,0.445,248.800,5,-177.178,14.492,86.428,23.309,-57.980,62.084,B2
2002-08-28,17:05:34.6,22.2608,121.3720,12.03,6.03,230.74,48.80,133.09,355.89,56.67,52.03,0.099154,-1.542281,1.443127,0.878078,-0.763335,-0.586874,1.443127,0.099154,-1.542281,-0.763335,0.586874,-0.878078,24,1.98335e+24,5.47,22,8.0,0.0,0.227,235.800,6,111.760,4.429,19.100,30.931,-150.926,58.683,A1
