      lon        lat       Ve       Vn        Se       Sn      Cen     site
   244.08210   33.17855  -15.691   15.809    0.862    0.745   0.0134  soda____
   244.17495   32.95473  -23.809   22.387    0.918    0.750   0.0155  sup_____
   244.64140   33.35487   -2.274   -1.672    0.914    1.356  -0.0830  beals___
   244.65491   33.56163   -2.048   -0.697    1.390    1.496  -0.1678  butte___
   244.22031   33.56905   -5.030    3.383    0.981    0.952   0.2032  orocopia
   243.97029   33.63429   -8.839    8.683    0.880    0.816   0.1715  mecca___
   244.08982   33.71835   -4.748    4.896    1.166    0.956  -0.0115  cottonwo
   243.76697   33.25663  -19.639   20.881    0.949    0.912   0.1084  bluff___
   243.89108   33.13103  -21.844   21.053    0.884    0.814  -0.0061  ocotillo
   243.56644   33.17712  -23.390   24.585    1.081    1.084   0.0376  wilson__
   243.82468   33.04493  -24.437   23.800    0.947    0.954  -0.0043  elephant
   243.52067   33.05094  -25.857   26.067    0.945    1.083   0.0976  granite_
   243.87382   33.30782  -15.519   15.181    1.023    0.882  -0.1316  palm____
   243.98504   32.82499  -25.182   24.925    0.844    0.781   0.0405  carri_sa
   244.01940   32.98158  -24.057   23.572    0.906    0.766   0.0566  fish____
   243.83573   32.69756  -26.532   27.072    0.903    0.961  -0.0771  jacumba_
   244.06760   32.63215  -25.641   27.221    0.908    0.797   0.0197  off_229_
   243.71461   32.91487  -25.876   24.518    0.866    1.185  -0.0450  stage___
   243.92271   33.38226  -14.051   13.965    0.889    0.777   0.0536  coolidge
   243.80909   33.52365  -13.111   14.520    0.935    0.881   0.1249  martinez
   243.42129   33.10168  -24.818   26.876    0.946    1.233   0.1995  volcan__
   243.68725   33.70406  -12.022   14.011    0.851    0.898   0.0980  laquinta
   243.72266   33.10223  -23.945   22.937    0.965    1.573  -0.0106  yak_____
   243.56881   33.87046  -10.934   12.406    1.504    1.468   0.4837  edom_2__

