      lon        lat       Ve       Vn        Se       Sn      Cen     site
   241.59259   34.74910  -15.297   21.088    1.656    1.789  -0.0081  FRMT_GPS
   241.03096   34.77520  -23.292   19.996    1.497    1.649   0.0598  FRZ2_GPS
   243.46237   33.89769   -8.659   16.556    1.558    1.234  -0.0397  GARN_GPS
   239.80176   34.50124  -29.897   33.908    1.170    0.811   0.0613  GAVI_GPS
   244.75337   32.83972   -2.418   -2.411    0.735    0.683  -0.0404  GLOC_GPS
   244.06831   34.13646   -1.780   -0.388    1.585    1.429  -0.0279  GODW_GPS
   240.23427   35.41328  -14.628   15.932    1.129    0.938  -0.0856  GOUD_GPS
   244.49912   33.03745   -2.171    2.874    1.235    0.979  -0.0363  HAMA_GPS
   241.15035   34.35751  -26.572   29.725    1.294    1.022  -0.1170  HAPY_GPS
   239.82194   35.68605  -17.905   21.551    0.838    0.741  -0.0399  HATC_GPS
   242.58161   34.94794   -6.759   15.550    2.023    1.390  -0.1210  HAWE_GPS
   243.57919   34.78499   -7.423   -3.194    1.396    1.231  -0.0039  HECT_GPS
   242.82963   34.83332  -14.974   11.548    1.999    2.205  -0.1642  HODG_GPS
   241.13490   34.47736  -23.679   23.704    0.928    0.790  -0.0995  HOPP_GPS
   243.22301   33.79426  -15.456   22.736    2.324    0.845  -0.0290  INDO_GPS
   245.15167   32.50412   -2.438    2.072    1.614    1.604   0.0083  IPE0_GPS
   242.00096   34.07724  -24.383   25.199    2.703    2.150  -0.1366  0702_GPS
   242.50320   34.97697  -11.308   12.336    2.014    1.351  -0.1250  JIMG_GPS
   241.82739   34.20447  -27.846   23.449    0.654    0.587  -0.0212  JPLM_GPS
   241.84649   34.28530  -22.683   22.980    3.002    2.646   0.0051  JSPH_GPS
   244.23579   33.83417   -0.401    2.299    0.764    0.788  -0.0293  JTRE_GPS
   244.93793   32.70921   -0.461    1.223    0.995    1.022   0.0020  JUNC_GPS
   242.81607   34.40102  -23.586   20.505    2.271    2.547  -0.2059  JUNI_GPS
   242.55745   34.03198  -14.598   23.154    3.304    1.677  -0.2401  JUR3_GPS
   244.23914   32.95017  -18.425   25.645    0.919    0.890  -0.0383  L589_GPS
   240.28669   34.49391  -30.522   30.186    0.739    0.615   0.0011  LACU_GPS
   242.64579   33.61965  -25.034   27.369    1.380    1.422   0.0238  LAKE_GPS
   241.94521   33.91620  -27.150   25.533    0.972    0.841  -0.0007  LANW_GPS
   242.05815   33.79236  -27.738   28.933    0.794    0.719  -0.0584  LASE_GPS
   243.48620   34.34378   -4.214   16.352    1.533    1.529  -0.0506  LAZY_GPS
   241.79666   33.78777  -29.738   32.087    0.602    0.581   0.0001  LBCH_GPS
   241.67825   34.13460  -27.563   25.829    0.750    0.722   0.0313  LEEP_GPS
   242.21513   33.82322  -28.412   28.618    3.352    3.903   0.0072  LEMO_GPS
   243.83978   31.25613  -30.147   30.099    0.885    0.794  -0.0552  LLCO_GPS
   241.99659   34.11190  -27.831   27.899    0.751    0.685   0.0105  LONG_GPS
