G574 120.3033 22.7937  -37.08   -9.81    6.64    2.02    2.02    4.83
G575 120.3607 22.8642  -30.07   -9.77   22.45    1.00    0.99    2.50
G587 120.5428 22.9007  -47.02   -4.95   18.35    0.98    0.91    2.38
G589 120.4055 22.8374  -35.10  -10.05   29.90    1.01    0.98    2.40
G590 120.5059 22.8200  -50.38   -4.65   15.35    0.95    0.92    2.35
G593 120.3562 22.7295  -50.31  -10.77   11.50    0.97    0.97    2.38
G594 120.4052 22.7233  -49.72  -10.15    3.10    0.98    0.97    2.44
G599 120.6818 22.9086  -43.90   -1.72   36.10    1.26    1.23    2.93
G600 120.7164 22.9102  -45.32   -2.92   10.61    0.94    0.92    2.43
G602 120.6349 22.8645  -46.41   -4.38   31.90    1.95    2.02    4.63
G603 120.6964 22.8110  -52.43   -1.56    9.60    0.94    0.92    2.40
G605 120.6108 22.7260  -48.62   -0.95   25.16    0.98    0.99    2.40
G606 120.6693 22.7255  -44.42   -2.66   34.75    2.11    2.17    5.00
G607 120.7317 22.7451  -47.85   -0.02   15.28    1.01    0.99    2.48
G608 120.7582 22.7279  -49.61   -1.31   11.96    0.94    0.94    2.36
G610 120.7076 22.6925  -53.77    0.48   16.93    1.06    0.98    2.43
G611 120.6017 22.6666  -52.06   -1.45    8.06    0.96    0.95    2.34
G612 120.6305 22.6534  -54.29    0.42    5.36    1.02    0.96    2.41
G616 120.6270 22.5280  -55.26    1.04   16.44    1.01    0.92    2.33
G617 120.6792 22.5270  -57.05    0.39   17.66    0.97    0.95    2.34
G618 120.6873 22.5268  -58.17    2.57   18.05    0.99    0.94    2.36
G621 120.6427 22.4357  -56.63    0.91    9.04    0.97    0.92    2.31
G622 120.6283 22.4279  -56.14    1.30    0.99    0.95    0.92    2.31
G624 120.6008 22.3634  -57.76   -0.89    8.10    1.89    2.19    4.78
G625 120.6257 22.3606  -52.14   -5.26   12.82    1.96    2.11    4.73
G626 120.6636 22.3691  -54.01    1.51   -4.05    2.11    2.11    4.96
I042 120.2527 22.7701  -25.19   -8.64   -5.09    1.01    0.99    1.78
O575 120.6638 22.4138  -56.98    2.13   -2.69    0.57    0.55    1.19
S133 120.2928 22.7599  -41.81   -3.74   -8.82    0.65    0.66    1.45
S138 120.3671 22.8127  -45.87   -6.40    8.13    1.02    1.03    1.78
S146 120.3520 22.9048  -35.94   -5.51    1.14    0.86    0.86    1.72
S23R 120.6062 22.6450  -53.31    0.82   -3.73    0.39    0.39    1.11
SASL 120.3785 22.6149  -51.68  -17.35   -6.36    0.60    0.61    1.60
